User ID,Rating,Latitude,Longitude
150,5,21.920000087,82.779998761
151,3,30.10491164,78.28702557
152,4,13.01846,77.5709289
153,4,18.4663066,73.8806107
154,1,28.4375319,77.0147019
155,3,22.6841315,72.8594123
156,3,22.6841315,72.8594123
157,1,27.195900085,77.963807795
158,1,27.195900085,77.963807795
159,1,27.195900085,77.963807795
160,2,22.6841315,72.8594123
161,5,22.5924737,88.3416274
162,2,19.2272865,73.0876759
163,3,9.94669932,76.29780317
164,2,25.3812523,84.4673063
165,1,28.46482083,77.29631496
166,5,28.609518333,77.334648333
167,1,21.1851323,72.7049257
168,1,10.08360913,77.06905037
169,1,-1,-1
170,1,19.11778609,72.8680459
171,5,28.609518333,77.334648333
172,5,-1,-1
173,1,24.06210033,88.5826578
174,1,28.46482083,77.29631496
175,2,21.1851323,72.7049257
176,1,21.1851323,72.7049257
177,4,13.0126428,77.6928304
178,4,13.0126428,77.6928304
179,4,23.00002785,72.51841665
180,4,26.8678909,75.8224199
181,4,13.0126428,77.6928304
182,5,20.34239159,85.822995147
183,5,16.5030886,80.6356928
184,1,25.5923912,85.139926
185,1,23.55416866,72.620049769
186,4,26.192231467,78.158261258
187,4,12.8834745,77.6021403
188,1,25.5923912,85.139926
189,1,28.4375319,77.0147019
190,1,18.5441969,73.9244088
191,4,26.8678909,75.8224199
192,1,25.5923912,85.139926
193,4,17.3754837,78.4294389
194,3,17.3754837,78.4294389
195,3,17.3754837,78.4294389
196,3,17.3754837,78.4294389
197,3,17.3754837,78.4294389
198,3,17.3754837,78.4294389
199,3,17.3754837,78.4294389
200,3,17.3754837,78.4294389
201,4,17.3754837,78.4294389
202,3,17.3754837,78.4294389
203,2,22.57967944,88.30053244
204,1,22.5797022,88.3003781
205,1,23.55416866,72.620049769
206,4,22.5922135,88.4083019
207,1,22.603135,88.4033875
208,2,25.5923912,85.139926
209,3,22.603135,88.4033875
210,4,23.028448474,72.55591946
211,4,17.3754837,78.4294389
212,4,10.42454977,76.12942752
213,4,10.42454977,76.12942752
214,4,10.42454977,76.12942752
215,4,-1,-1
216,5,-1,-1
217,3,13.0609112,77.497137
218,3,22.6841315,72.8594123
219,4,18.6549756,73.8115793
220,4,18.5441969,73.9244088
221,2,-1,-1
222,1,23.5542223,72.6201525
223,4,-1,-1
224,1,19.65829511,82.21779321
225,1,19.66023204,82.21405006
226,1,19.657936692,82.21704483
227,5,-1,-1
228,4,-1,-1
229,5,-1,-1
230,1,19.657936692,82.21704483
231,4,-1,-1
232,2,-1,-1
233,2,21.08810544,79.083835561
234,4,18.4371151,73.1242931
